,Opportunity Number,Type,Brand,State,Country,First Contact Type,Date of First Contact,Date of Giving Proposal,Date of Closing,Number of Contacts,Opportunity Amount (in USD),Customer Size By Revenue,Revenue From Customer (in USD),Customer Size By Number of Employees,Competitor Type,Anonymous Variable 1,Anonymous Variable 2,Anonymous Variable 3,Anonymous Variable 4,Sale
0.695895846,8569,Biscuit,Nabisco,Texas,United States,Email,8/1/2014,14-01-2014,14-01-2014,3,185000,USD 0 - 9999,USD 0,0 to 10,Known,0,0.75,0.25,1,No
0.5450565,17785,Biscuit,Ritz,Arizona,United States,Email,3/1/2014,13-03-2014,13-03-2014,6,110000,USD 100000 - 249999,USD 0,0 to 10,Unknown,0.043796,0.325547,0.630657,1,No
0.856454685,33573,Biscuit,Covenant,Utah,United States,Email,30-01-2014,14-03-2014,14-03-2014,3,50000,USD 100000 - 249999,USD 0,21 to 30,Unknown,0,0.292343,0.707657,1,No
0.358595019,5912,Biscuit,Ritz,Arizona,United States,Email,26-01-2014,1/2/2014,1/2/2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.847746997,26193,Biscuit,Covenant,Oregon,United States,Email,27-01-2014,20-03-2014,24-05-2014,17,236624,USD 0 - 9999,USD 100000 - 199999,41 and above,Known,0.000854,0.137489,0.30316,0.441503,No
0.032271947,35813,Beverage,Coca Cola,Utah,United States,Email,16-01-2014,16-03-2014,16-03-2014,2,150000,USD 25000 - 49999,USD 0,41 and above,Unknown,1,0,0,1,No
0.97344073,45555,Biscuit,Oreo,Utah,United States,Email,24-01-2014,6/2/2014,6/2/2014,4,100000,USD 0 - 9999,USD 0,31 to 40,Known,0,0.023622,0.976378,1,No
0.631360084,13344,Beverage,Fanta,Montana,United States,Email,17-01-2014,17-01-2014,17-01-2014,4,50000,USD 25000 - 49999,USD 0,21 to 30,None,0.25,0.75,0,1,No
0.550539476,32742,Biscuit,Ritz,California,United States,Email,8/1/2014,18-01-2014,18-01-2014,2,38753,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.879929133,1767,Beverage,Fanta,Oregon,United States,Email,27-01-2014,18-02-2014,18-02-2014,10,150000,USD 100000 - 249999,USD 0,41 and above,Known,0.113122,0.882353,0.004525,1,No
0.326768431,44860,Biscuit,Arbo,Washington,United States,Email,19-01-2014,19-01-2014,19-01-2014,2,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.366816666,38063,Beverage,Coca Cola,Texas,United States,Email,27-01-2014,27-01-2014,27-01-2014,2,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.49457744,7835,Beverage,Fanta,Arizona,United States,Email,23-01-2014,9/3/2014,9/3/2014,2,500000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.958252607,28674,Biscuit,Ritz,Oregon,United States,Email,29-01-2014,1/2/2014,1/2/2014,3,300000,USD 0 - 9999,USD 0,0 to 10,Known,0.56,0.44,0,1,No
0.459422641,44718,Biscuit,Arbo,Oregon,United States,Email,7/1/2014,16-01-2014,16-01-2014,4,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.148936,0.234043,0.617021,1,No
0.559126498,33062,Biscuit,Nabisco,Arizona,United States,Email,1/1/2014,5/1/2014,5/1/2014,2,138880,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,1,1,No
0.821120109,24935,Biscuit,Covenant,Montana,United States,Email,25-01-2014,3/2/2014,3/2/2014,2,150000,USD 0 - 9999,USD 100000 - 199999,0 to 10,Unknown,0,1,0,1,No
0.600343871,26996,Beverage,Coca Cola,Montana,United States,Email,24-01-2014,24-01-2014,24-01-2014,1,0,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.951319303,41313,Biscuit,Nabisco,Arizona,United States,Email,14-01-2014,31-01-2014,31-01-2014,3,90000,USD 100000 - 249999,USD 0,11 to 20,None,0,0.982353,0.017647,1,No
0.57584302,31757,Biscuit,Covenant,Utah,United States,Email,26-01-2014,9/2/2014,9/2/2014,2,10000,USD 0 - 9999,USD 0,31 to 40,Unknown,0,1,0,1,No
0.620437224,32002,Beverage,Fanta,Utah,United States,Email,9/1/2014,9/1/2014,9/1/2014,2,5000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.003620378,16275,Beverage,Pepsi,Utah,United States,Email,1/1/2014,4/1/2014,4/1/2014,2,101000,USD 0 - 9999,USD 0,0 to 10,Known,1,0,0,1,No
0.015985352,37898,Biscuit,Ritz,Utah,United States,Email,25-01-2014,26-02-2014,26-02-2014,2,150000,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.975419579,35953,Beverage,Fanta,Texas,United States,Email,5/1/2014,1/2/2014,2/2/2014,7,115000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0.885714,0.089286,0.975,No
0.737845011,29378,Beverage,Pepsi,Texas,United States,Email,7/1/2014,24-01-2014,24-01-2014,3,110000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.072289,0.927711,0,1,No
0.683586741,4582,Beverage,Fanta,Utah,United States,Email,29-01-2014,25-02-2014,25-02-2014,2,360000,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.626565991,36049,Biscuit,Arbo,Texas,United States,Email,24-01-2014,16-04-2014,16-04-2014,4,200000,USD 0 - 9999,USD 0,31 to 40,Unknown,0,0.865854,0.134146,1,No
0.752421907,26438,Biscuit,Nabisco,California,United States,Email,6/1/2014,6/1/2014,6/1/2014,1,60000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.702234721,30096,Beverage,Coca Cola,Washington,United States,Email,12/1/2014,13-01-2014,13-01-2014,2,7,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.845259398,33392,Biscuit,Ritz,Utah,United States,Email,18-01-2014,20-03-2014,20-03-2014,2,200000,USD 10000 - 24999,USD 0,21 to 30,Known,1,0,0,1,No
0.844095591,14356,Biscuit,Arbo,Utah,United States,Email,4/1/2014,14-01-2014,14-01-2014,2,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.713947113,41289,Beverage,Fanta,Utah,United States,Email,17-01-2014,2/2/2014,2/2/2014,2,60000,USD 50000 - 99999,USD 0,41 and above,Known,0,1,0,1,No
0.101850022,2736,Beverage,Coca Cola,Arizona,United States,Email,15-01-2014,2/2/2014,2/2/2014,3,300000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.955307,0.044693,0,1,No
0.455331053,25773,Biscuit,Chips Ahoy,Utah,United States,Email,6/1/2014,18-01-2014,18-01-2014,2,50000,USD 50000 - 99999,USD 0,0 to 10,Known,0,1,0,1,No
0.630705124,7539,Biscuit,Ritz,Arizona,United States,Email,22-01-2014,28-01-2014,28-01-2014,3,228573,USD 25000 - 49999,USD 0,11 to 20,Unknown,0,1,0,1,No
0.083980389,31593,Biscuit,Arbo,Arizona,United States,Email,24-01-2014,14-02-2014,14-02-2014,2,800000,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.500363636,13408,Biscuit,Covenant,Oregon,United States,Email,22-01-2014,12/2/2014,12/2/2014,5,200000,USD 0 - 9999,USD 0,0 to 10,Known,0.341121,0.158879,0.5,1,No
0.156577242,17578,Biscuit,Covenant,Washington,United States,Email,1/1/2014,21-01-2014,21-01-2014,2,10000,USD 0 - 9999,USD 0,21 to 30,Unknown,1,0,0,1,No
0.267843335,27198,Biscuit,Covenant,Oregon,United States,Email,15-01-2014,4/2/2014,4/2/2014,3,100000,USD 0 - 9999,USD 0,11 to 20,Known,0,1,0,1,No
0.070114498,7382,Beverage,Fanta,Texas,United States,Email,17-01-2014,3/2/2014,3/2/2014,4,60000,USD 25000 - 49999,USD 0,41 and above,Known,0.502994,0.011976,0.48503,1,No
0.845014313,40835,Biscuit,Covenant,Utah,United States,Email,21-01-2014,5/2/2014,5/2/2014,2,30000,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.928420077,25846,Beverage,Fanta,Texas,United States,Email,4/1/2014,9/1/2014,9/1/2014,3,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0.45283,0.54717,1,No
0.02229482,9512,Beverage,Coca Cola,Arizona,United States,Email,25-01-2014,25-01-2014,25-01-2014,1,1810,USD 0 - 9999,USD 0,0 to 10,None,0,0,0,0,No
0.816140214,45746,Beverage,Coca Cola,Utah,United States,Email,1/1/2014,1/1/2014,1/1/2014,1,5000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.484341268,14244,Biscuit,Nabisco,Washington,United States,Email,9/1/2014,28-01-2014,28-01-2014,3,131578,USD 0 - 9999,USD 0,0 to 10,Unknown,0.492147,0.507853,0,1,No
0.66297131,34008,Beverage,Pepsi,Arizona,United States,Email,20-01-2014,26-01-2014,26-01-2014,3,50000,USD 50000 - 99999,USD 0,21 to 30,Known,0,1,0,1,No
0.378509478,37086,Biscuit,Ritz,Texas,United States,Email,11/1/2014,20-01-2014,20-01-2014,4,100000,USD 0 - 9999,USD 0,0 to 10,None,0,1,0,1,No
0.217846672,16256,Biscuit,Nabisco,California,United States,Email,31-01-2014,8/2/2014,8/2/2014,2,10000,USD 0 - 9999,USD 0,31 to 40,Unknown,0,1,0,1,No
0.136825449,3941,Biscuit,Oreo,Utah,United States,Email,24-01-2014,17-02-2014,17-02-2014,3,45500,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.98271159,18911,Biscuit,Ritz,Montana,United States,Email,8/1/2014,9/2/2014,9/2/2014,3,50000,USD 0 - 9999,USD 100000 - 199999,0 to 10,Unknown,0.349845,0.650155,0,1,No
0.147785575,4922,Biscuit,Oreo,Oregon,United States,Email,13-01-2014,15-01-2014,15-01-2014,2,90000,USD 25000 - 49999,USD 0,31 to 40,Unknown,1,0,0,1,No
0.868148133,15744,Biscuit,Covenant,Montana,United States,Email,5/1/2014,7/1/2014,7/1/2014,2,70000,USD 10000 - 24999,USD 200000 and above,0 to 10,None,0,1,0,1,No
0.539624495,35383,Beverage,Coca Cola,California,United States,Email,2/1/2014,8/1/2014,8/1/2014,3,155014,USD 0 - 9999,USD 200000 and above,0 to 10,Unknown,0.709091,0,0.290909,1,No
0.00773831,1271,Biscuit,Covenant,Washington,United States,Email,27-01-2014,7/4/2014,7/4/2014,2,50000,USD 50000 - 99999,USD 0,31 to 40,Known,0,1,0,1,No
0.937491395,10763,Beverage,Coca Cola,Montana,United States,Email,11/1/2014,5/2/2014,5/2/2014,3,30000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.304878,0.695122,0,1,No
0.371792042,21048,Biscuit,Covenant,Oregon,United States,Email,8/1/2014,18-01-2014,19-01-2014,9,60000,USD 25000 - 49999,USD 0,11 to 20,Known,0.230088,0.053097,0.628319,0.911504,No
0.746102164,18656,Biscuit,Arbo,Oregon,United States,Email,2/1/2014,19-01-2014,19-01-2014,4,120000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.294798,0.023121,0.682081,1,No
0.378821305,5361,Biscuit,Covenant,Texas,United States,Email,27-01-2014,27-01-2014,27-01-2014,1,120000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.646002757,3043,Beverage,Coca Cola,California,United States,Email,6/1/2014,6/1/2014,6/1/2014,2,350000,USD 0 - 9999,USD 0,41 and above,Unknown,0,0,0,0,No
0.138643581,25279,Biscuit,Ritz,Utah,United States,Email,19-01-2014,10/3/2014,10/3/2014,4,200000,USD 0 - 9999,USD 0,0 to 10,Known,0.024048,0.136273,0.839679,1,No
0.835695506,21295,Beverage,Fanta,Utah,United States,Email,17-01-2014,19-03-2014,19-03-2014,8,100000,USD 10000 - 24999,USD 200000 and above,11 to 20,Unknown,0.20098,0.343137,0.455882,0.999999,No
0.777266098,7831,Biscuit,Arbo,Washington,United States,Email,20-01-2014,19-02-2014,19-02-2014,3,200000,USD 0 - 9999,USD 0,0 to 10,Known,0.009934,0,0.990066,1,No
0.55123962,32833,Biscuit,Covenant,Montana,United States,Email,10/1/2014,10/2/2014,10/2/2014,2,300000,USD 0 - 9999,USD 200000 and above,41 and above,None,1,0,0,1,No
0.359993086,13110,Beverage,Fanta,California,United States,Email,3/1/2014,3/3/2014,3/3/2014,6,500000,USD 50000 - 99999,USD 0,0 to 10,Known,0.042662,0.020478,0.93686,1,No
0.014354517,4328,Biscuit,Arbo,Arizona,United States,Email,30-01-2014,19-02-2014,19-02-2014,2,30000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.969903948,42720,Biscuit,Arbo,Arizona,United States,Email,28-01-2014,5/2/2014,5/2/2014,2,40000,USD 50000 - 99999,USD 0,31 to 40,Known,1,0,0,1,No
0.070327046,28964,Beverage,Fanta,Washington,United States,Email,10/1/2014,10/1/2014,10/1/2014,2,101000,USD 100000 - 249999,USD 0,31 to 40,Unknown,0,0,0,0,No
0.99740798,42959,Biscuit,Covenant,Oregon,United States,Email,23-01-2014,25-01-2014,25-01-2014,3,250000,USD 25000 - 49999,USD 0,31 to 40,Known,0,1,0,1,No
0.478903107,9160,Biscuit,Ritz,California,United States,Email,24-01-2014,12/3/2014,12/3/2014,3,350000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.101695,0.898305,0,1,No
0.483411922,22523,Beverage,Coca Cola,Oregon,United States,Email,7/1/2014,24-01-2014,24-01-2014,3,50000,USD 0 - 9999,USD 0,0 to 10,Known,0.113095,0.886905,0,1,No
0.688934228,1379,Beverage,Coca Cola,Utah,United States,Email,14-01-2014,27-01-2014,27-01-2014,2,110000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.009190316,18844,Beverage,Coca Cola,Washington,United States,Email,26-01-2014,20-02-2014,27-02-2014,3,60240,USD 25000 - 49999,USD 0,11 to 20,Known,0.77709,0,0,0.77709,No
0.914263307,5199,Biscuit,Nabisco,California,United States,Email,19-01-2014,26-01-2014,26-01-2014,4,5000,USD 50000 - 99999,USD 0,11 to 20,Unknown,0,1,0,1,No
0.60840516,40129,Beverage,Fanta,Oregon,United States,Email,14-01-2014,15-01-2014,15-01-2014,2,25000,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.978898124,3835,Biscuit,Ritz,Washington,United States,Email,29-01-2014,10/2/2014,10/2/2014,2,100000,USD 100000 - 249999,USD 0,41 and above,Unknown,1,0,0,1,No
0.705128204,25503,Biscuit,Ritz,Utah,United States,Email,17-01-2014,17-01-2014,17-01-2014,2,20000,USD 100000 - 249999,USD 0,41 and above,Unknown,1,0,0,1,No
0.453401973,25879,Biscuit,Arbo,Utah,United States,Email,24-01-2014,18-02-2014,18-02-2014,3,800000,USD 0 - 9999,USD 0,0 to 10,Known,0,0.845528,0.154472,1,No
0.725912693,2122,Milk,TruMoo,Montana,United States,Email,16-01-2014,7/2/2014,7/2/2014,5,0,USD 100000 - 249999,USD 25000 - 99999,21 to 30,None,0.074419,0.083721,0.84186,1,No
0.013512824,31452,Biscuit,Chips Ahoy,Washington,United States,Email,5/1/2014,18-01-2014,18-01-2014,2,2894,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.747271989,27166,Biscuit,Chips Ahoy,Montana,United States,Email,5/1/2014,24-01-2014,24-01-2014,2,100000,USD 0 - 9999,USD 0,31 to 40,Unknown,0,1,0,1,No
0.403117012,37288,Beverage,Fanta,Texas,United States,Email,19-01-2014,19-01-2014,19-01-2014,2,0,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.54741216,38999,Beverage,Fanta,California,United States,Email,1/1/2014,14-01-2014,14-01-2014,2,158115,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.813395359,8026,Beverage,Coca Cola,Washington,United States,Email,18-01-2014,8/2/2014,8/2/2014,2,20000,USD 25000 - 49999,USD 0,11 to 20,None,0,1,0,1,No
0.755152201,2567,Biscuit,Arbo,Oregon,United States,Email,20-01-2014,6/3/2014,6/3/2014,6,150000,USD 0 - 9999,USD 0,21 to 30,None,0.376392,0.053452,0.570156,1,No
0.742052498,7083,Beverage,Coca Cola,Texas,United States,Email,3/1/2014,18-01-2014,18-01-2014,3,30000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0.496599,0.503401,1,No
0.029551004,28132,Beverage,Fanta,Arizona,United States,Email,22-01-2014,20-02-2014,20-02-2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.254208633,44129,Biscuit,Chips Ahoy,Montana,United States,Email,10/1/2014,26-01-2014,26-01-2014,2,145000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.10609591,32032,Beverage,Fanta,Arizona,United States,Email,26-01-2014,15-02-2014,15-02-2014,2,50000,USD 25000 - 49999,USD 0,21 to 30,Known,0,1,0,1,No
0.102743952,29584,Beverage,Pepsi,Utah,United States,Email,12/1/2014,16-02-2014,16-02-2014,3,184049,USD 50000 - 99999,USD 0,0 to 10,Known,0.085714,0.914286,0,1,No
0.333171216,15645,Beverage,Fanta,Arizona,United States,Email,23-01-2014,27-01-2014,27-01-2014,2,300000,USD 0 - 9999,USD 0,41 and above,Known,0,1,0,1,No
0.836657184,45467,Biscuit,Arbo,Utah,United States,Email,28-01-2014,6/4/2014,6/4/2014,2,110000,USD 0 - 9999,USD 0,31 to 40,Unknown,1,0,0,1,No
0.547045598,44449,Beverage,Fanta,Montana,United States,Email,27-01-2014,3/3/2014,3/3/2014,3,150000,USD 25000 - 49999,USD 0,0 to 10,Known,0.14,0.86,0,1,No
0.90147666,17021,Beverage,Coca Cola,Texas,United States,Email,28-01-2014,7/3/2014,7/3/2014,3,850000,USD 50000 - 99999,USD 0,21 to 30,Unknown,0.76455,0,0.23545,1,No
0.855328676,43902,Biscuit,Covenant,Washington,United States,Email,13-01-2014,16-01-2014,16-01-2014,2,75,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,1,1,No
0.456785495,36168,Biscuit,Arbo,Montana,United States,Email,31-01-2014,24-02-2014,24-02-2014,3,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.045082,0.954918,0,1,No
0.569432766,26315,Biscuit,Oreo,Utah,United States,Email,26-01-2014,15-02-2014,15-02-2014,2,26887,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.169606123,40015,Beverage,Coca Cola,California,United States,Email,1/1/2014,7/2/2014,7/2/2014,2,101000,USD 0 - 9999,USD 200000 and above,41 and above,Unknown,0,1,0,1,No
0.604024964,5891,Biscuit,Nabisco,Texas,United States,Email,3/1/2014,2/3/2014,2/3/2014,7,600000,USD 0 - 9999,USD 200000 and above,0 to 10,Unknown,0.048193,0.134251,0.817556,1,No
0.819185566,36317,Biscuit,Nabisco,Montana,United States,Email,28-01-2014,7/3/2014,7/3/2014,2,105000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.51990849,21484,Beverage,Coca Cola,Washington,United States,Email,17-01-2014,3/2/2014,3/2/2014,2,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.411820959,30347,Beverage,Coca Cola,Texas,United States,Email,5/1/2014,16-01-2014,16-01-2014,3,538000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0.264151,0.735849,1,No
0.940184636,26079,Biscuit,Arbo,California,United States,Email,17-01-2014,19-01-2014,19-01-2014,2,60000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.321342038,10625,Beverage,Fanta,Washington,United States,Email,22-01-2014,12/4/2014,12/4/2014,5,301204,USD 0 - 9999,USD 0,0 to 10,Known,0.002516,0.766038,0.231447,1.000001,No
0.00239938,29706,Biscuit,Ritz,California,United States,Email,26-01-2014,7/2/2014,7/2/2014,3,35000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0.02459,0.97541,1,No
0.222760254,11655,Biscuit,Oreo,Utah,United States,Email,20-01-2014,27-01-2014,27-01-2014,2,59815,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.405694599,25010,Biscuit,Covenant,California,United States,Email,23-01-2014,6/2/2014,6/2/2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.032113104,39242,Biscuit,Oreo,Utah,United States,Email,15-01-2014,1/2/2014,1/2/2014,3,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.163636,0.836364,0,1,No
0.94612497,42788,Biscuit,Oreo,Washington,United States,Email,20-01-2014,1/3/2014,1/3/2014,3,80000,USD 0 - 9999,USD 0,0 to 10,None,0,0.067669,0.932331,1,No
0.334085117,19982,Biscuit,Covenant,Washington,United States,Email,17-01-2014,25-01-2014,25-01-2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.919432934,23271,Biscuit,Arbo,Montana,United States,Email,4/1/2014,6/1/2014,6/1/2014,4,30000,USD 50000 - 99999,USD 0,0 to 10,Unknown,0,0.35,0.65,1,No
0.983325545,37546,Biscuit,Covenant,Oregon,United States,Email,26-01-2014,6/2/2014,27-02-2014,5,20000,USD 25000 - 49999,USD 0,21 to 30,Unknown,0.003115,0.246106,0.080997,0.330218,No
0.687927953,32346,Beverage,Pepsi,Arizona,United States,Email,17-01-2014,3/2/2014,3/2/2014,6,55000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.054545,0.593939,0.351515,0.999999,No
0.250233263,35390,Beverage,Coca Cola,California,United States,Email,15-01-2014,24-01-2014,24-01-2014,3,150000,USD 100000 - 249999,USD 0,11 to 20,Unknown,0.086022,0.913978,0,1,No
0.201388543,44199,Biscuit,Covenant,Montana,United States,Email,11/1/2014,3/3/2014,3/3/2014,2,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.249090234,42019,Beverage,Fanta,Montana,United States,Email,6/1/2014,17-01-2014,17-01-2014,2,30000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.831166701,39028,Biscuit,Nabisco,Utah,United States,Email,8/1/2014,27-01-2014,27-01-2014,2,150000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.955351758,29209,Beverage,Pepsi,Texas,United States,Email,6/1/2014,27-01-2014,27-01-2014,2,5000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.303748101,32056,Biscuit,Nabisco,Montana,United States,Email,31-01-2014,4/3/2014,4/3/2014,6,150000,USD 25000 - 49999,USD 0,31 to 40,Known,0.453968,0.257143,0.288889,1,No
0.898562264,2730,Biscuit,Chips Ahoy,Washington,United States,Email,27-01-2014,7/3/2014,7/3/2014,2,174418,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.136497984,33846,Beverage,Fanta,California,United States,Email,18-01-2014,5/2/2014,5/2/2014,3,620058,USD 0 - 9999,USD 0,0 to 10,None,0.594286,0,0.405714,1,No
0.911841781,945,Beverage,Fanta,California,United States,Email,31-01-2014,4/2/2014,4/2/2014,2,570000,USD 0 - 9999,USD 0,0 to 10,None,0,1,0,1,No
0.028855678,24525,Biscuit,Chips Ahoy,Washington,United States,Email,5/1/2014,13-02-2014,13-02-2014,3,34883,USD 50000 - 99999,USD 0,0 to 10,Unknown,0.913043,0.086957,0,1,No
0.650309841,15281,Biscuit,Arbo,Texas,United States,Email,7/1/2014,17-01-2014,17-01-2014,3,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.437695346,42826,Biscuit,Arbo,Texas,United States,Email,15-01-2014,3/2/2014,3/2/2014,2,20000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.626255028,2376,Biscuit,Chips Ahoy,Utah,United States,Email,28-01-2014,3/2/2014,3/2/2014,2,350000,USD 0 - 9999,USD 0,31 to 40,Known,1,0,0,1,No
0.176624594,9103,Biscuit,Covenant,Oregon,United States,Email,26-01-2014,3/3/2014,3/3/2014,2,400000,USD 0 - 9999,USD 0,41 and above,Known,0,1,0,1,No
0.19859624,43163,Biscuit,Arbo,Utah,United States,Email,28-01-2014,16-03-2014,16-03-2014,3,350000,USD 0 - 9999,USD 200000 and above,0 to 10,Known,0.072805,0.927195,0,1,No
0.547167912,39985,Biscuit,Oreo,Montana,United States,Email,10/1/2014,13-02-2014,13-02-2014,3,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.148688,0.851312,0,1,No
0.156923507,25234,Biscuit,Nabisco,Arizona,United States,Email,20-01-2014,20-02-2014,20-02-2014,2,0,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.16323434,19322,Beverage,Fanta,Montana,United States,Email,31-01-2014,19-02-2014,19-02-2014,3,115000,USD 0 - 9999,USD 0,0 to 10,None,0.10582,0.89418,0,1,No
0.775613686,21179,Beverage,Fanta,California,United States,Email,19-01-2014,31-03-2014,31-03-2014,6,50000,USD 10000 - 24999,USD 0,41 and above,Known,0.139045,0.172753,0.688202,1,No
0.174342228,12688,Biscuit,Arbo,Utah,United States,Email,16-01-2014,6/3/2014,6/3/2014,5,60000,USD 50000 - 99999,USD 0,31 to 40,Unknown,0.50823,0.49177,0,1,No
0.964923661,45615,Milk,TruMoo,Utah,United States,Email,19-01-2014,1/2/2014,1/2/2014,2,105000,USD 0 - 9999,USD 0,0 to 10,Known,0,0,1,1,No
0.280957656,10699,Biscuit,Arbo,Utah,United States,Email,23-01-2014,27-02-2014,27-02-2014,3,185000,USD 0 - 9999,USD 200000 and above,31 to 40,Unknown,0,0.040462,0.959538,1,No
0.773369557,29736,Biscuit,Chips Ahoy,Utah,United States,Email,11/1/2014,8/3/2014,8/3/2014,5,350000,USD 0 - 9999,USD 0,21 to 30,Unknown,0.41533,0.58467,0,1,No
0.673565024,6372,Milk,TruMoo,Oregon,United States,Email,22-01-2014,18-02-2014,18-02-2014,9,600000,USD 0 - 9999,USD 0,41 and above,Unknown,0.047619,0.725275,0.223443,0.996337,No
0.200160671,27357,Biscuit,Nabisco,Utah,United States,Email,26-01-2014,12/2/2014,12/2/2014,2,350000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.963351973,15307,Beverage,Coca Cola,Montana,United States,Email,22-01-2014,8/2/2014,8/2/2014,3,110000,USD 0 - 9999,USD 0,0 to 10,Known,0.278788,0.721212,0,1,No
0.944747585,27639,Biscuit,Covenant,Arizona,United States,Email,31-01-2014,12/2/2014,12/2/2014,4,161000,USD 100000 - 249999,USD 0,0 to 10,Known,0.111111,0.153846,0.735043,1,No
0.374850671,42030,Biscuit,Nabisco,Texas,United States,Email,19-01-2014,9/3/2014,9/3/2014,2,300000,USD 100000 - 249999,USD 0,11 to 20,Known,0,1,0,1,No
0.943808894,198,Biscuit,Covenant,Washington,United States,Email,29-01-2014,3/2/2014,3/2/2014,3,200000,USD 0 - 9999,USD 0,21 to 30,Unknown,0,0.458333,0.541667,1,No
0.215231689,4627,Biscuit,Nabisco,Washington,United States,Email,22-01-2014,28-01-2014,28-01-2014,2,102000,USD 0 - 9999,USD 200000 and above,0 to 10,Known,0,1,0,1,No
0.440405935,161,Biscuit,Nabisco,Utah,United States,Email,27-01-2014,19-02-2014,22-02-2014,9,22463,USD 100000 - 249999,USD 0,0 to 10,Unknown,0.026923,0.380769,0.476923,0.884615,No
0.050717376,17917,Biscuit,Ritz,Oregon,United States,Email,3/1/2014,21-01-2014,21-01-2014,3,30000,USD 10000 - 24999,USD 0,31 to 40,Unknown,0,0.797753,0.202247,1,No
0.884319181,38611,Biscuit,Arbo,Texas,United States,Email,24-01-2014,9/3/2014,9/3/2014,2,100000,USD 0 - 9999,USD 0,0 to 10,None,0,1,0,1,No
